factor,Win Rate,Profit/Loss Ratio,Annual Return,MAX_Drawdown,Sharpe Ratio,Calmar Ratio,Turnover_per_bar,Avg_abs_position
ta_trima_21(ta_mom_12(ta_tsf_5(h_ta_lr_angle_10))),0.20184782193715878,1.1100225681046976,0.8009625662604523,-2.6607336053504835,1.7797445686762556,0.3010307250037329,0.03218417134348872,0.400030542511358
"TS_COV_40(ta_atr_25(ta_tsf_5(ori_trix_55), ta_cmo_14(ta_dx_14(donchian_pos_200, vol_ccy, trend_slope_24)), ts_std_10(vol_ccy)), ta_ema_8(ta_dema_55(v_trix_8_obv)))",0.1982590768525942,1.0674723717041763,-0.48790120860392755,-20.907027545194907,-1.0491097869900894,-0.023336708556451997,0.031687855533921276,0.400030542511358
"ta_rocp_14(ts_max_20(ta_atr_25(up_ratio_24, trend_slope_72, c_ta_tsf_5)))",0.19844996754858168,1.0400569801785695,-0.019397231021379524,-1.250255423222834,-0.04002326774504921,-0.015514614582817403,0.012064291986408583,0.400030542511358
ta_lr_slope_20(ta_trima_8(ori_ta_macd)),0.19860268010537166,1.1188695096260997,0.4432642859548173,-3.628267531323458,0.9699313302676923,0.12216968074378212,0.031267896002748825,0.400030542511358
"TS_COV_40(ta_atr_25(ta_tsf_5(ori_trix_55), ta_dema_8(up_ratio_24), ts_std_10(vol_ccy)), ta_ema_8(ta_dema_55(v_trix_8_obv)))",0.1989844614973466,1.0440016627229538,-0.6293725345936926,-39.72271318805875,-1.3351335931832258,-0.015844147694898433,0.028404535562936664,0.400030542511358
"TS_COV_40(ta_atr_25(ta_tsf_5(ori_trix_55), ta_dema_8(neg(l)), ts_std_10(vol_ccy)), ta_ema_8(ta_dema_55(v_trix_8_obv)))",0.20070247776123393,1.0880695859211453,0.3481866258239839,-18.371829862196183,0.7578858857096006,0.0189522017368803,0.03031344252281144,0.400030542511358
"ts_kurt_10(ts_std_10(div(ta_mfi_25(ori_trix_21, vol_ccy, ori_ta_macd, v_trix_8_obv), ori_trix_21)))",0.20016798381246897,1.0121983766351998,-0.16885131039712326,-12.569719604685346,-0.3726989178535766,-0.01343318034987703,0.011758866872828618,0.400030542511358
"ts_lag_3(ts_argmin_20(ta_lr_intercept_5(mul(trend_slope_72, ori_ta_macd))))",0.1948612224640171,1.3194654316492926,-2.2332018932218114,-6.731537131559964,-4.711208958751098,-0.33175214658650926,0.17397778032298705,0.400030542511358
"TA_SAR(close_macd, ta_dema_55(vol))",0.19444126293284467,1.2082528915896702,-1.5609113424410026,-75.18930848271825,-3.5357250213030973,-0.02075975127234702,0.12545336540297025,0.400030542511358
"ta_minus_di_14(ta_mom_25(ta_aroonosc_25(obv_lr_slope_20, ori_trix_55)), ts_kurt_20(ta_rocr_25(vol_ccy)), ts_delta_8(ta_trix_21(up_ratio_24)))",0.19631199175352193,1.217062765336369,-1.2186884987586197,-26.08906673632871,-2.6541570014508227,-0.04671261379624633,0.10655518650020998,0.400030542511358
